Feature Id,Importances
card1,11.120868003741403
card1_freq,8.260413132948822
P_emaildomain,7.485703271257741
days_since_start,7.072567697684787
addr1,7.060067327366285
log_amount,7.053088354723769
TransactionAmt,6.246774776818399
tx_count,4.116858725838224
ProductCD,3.8523127488720954
card2,3.746023539908732
R_emaildomain,3.53354329508945
hour,2.3748974936665053
addr1_freq,2.135735362986077
card6,1.6479831723491931
velocity_sec,1.5758024006963698
V78,1.1987779327750674
V258,1.0739397291861006
card5,1.0663202865109398
card3,0.993606447472338
V87,0.8428707923140969
day_of_week,0.8385630223639554
V74,0.7952017402452523
V45,0.7689174775822034
V86,0.6899401532995529
V47,0.6599020196514808
V44,0.654999912083438
V63,0.5349225478459352
V257,0.5281220616742281
V218,0.5225489236757921
V303,0.4903298246359256
card4,0.47414298393361626
V156,0.47205177269486165
V77,0.385651040809003
V246,0.34684584420292347
V37,0.30046251480848246
V217,0.30043587040525027
V24,0.2939231596299317
V154,0.29285949344104034
V170,0.2710458733354445
V243,0.2703748686808354
V139,0.26505988010645737
last_amount,0.260300534564111
V38,0.25705728687438323
V23,0.25012469342878874
V199,0.24103087589400884
V94,0.24042536453523353
addr2,0.23797473570719505
V201,0.22374790952291881
avg_amount,0.2129196009869257
V232,0.21082378148476677
V157,0.2065192565992063
V194,0.19857783085493222
V60,0.19802015097030845
V200,0.19687731635024533
V46,0.1835738998436307
V189,0.17818716003802781
V125,0.1689286871438964
V259,0.16738834068691522
V81,0.15573424371345443
V140,0.15198697851544832
V34,0.15076565749296233
is_night,0.1496936149122446
V171,0.14717416647931936
V304,0.14140945062808316
V186,0.13923954293062102
V219,0.1342215944042131
V222,0.13046616790087667
V39,0.1283106255850543
V158,0.12428544465818948
V260,0.12291510577072494
V231,0.1204420193702276
V176,0.11722484144254287
V188,0.11595833037047812
V247,0.11326807038085664
V198,0.10644421085081941
V155,0.10347452925818576
V79,0.09182952385710859
V93,0.09105498872679739
V179,0.08930495079129896
V52,0.08857413361880798
V252,0.08624444566482135
V123,0.08391071929790102
V43,0.08244747452310752
V244,0.08218494960295247
V230,0.06473780498408181
V85,0.0628510268956422
V195,0.06182453243065981
V40,0.05765626768697725
tx_last_5min,0.05315671387113523
tx_last_1min,0.04901933808240839
V32,0.04747964663335568
is_weekend,0.04409268005587443
V146,0.037396661754786065
V16,0.0371970623007562
V197,0.029405724473725414
V237,0.02869389310303648
V262,0.028557695327216755
V228,0.027114367526051862
V167,0.020854895131845495
V239,0.019116839847951476
V21,0.009288108021424598
V18,0.007424084213460264
V111,0.006366545142923893
V177,0.005292940230387767
V233,0.004105349498665958
V147,0.002869139242946438
