Feature Id,Importances
card1,9.452325029238814
card1_freq,8.401477719284818
P_emaildomain,7.734277141383869
addr1,7.009338925299001
user_tx_count,5.7429553627298855
log_amount,5.364037105381745
TransactionAmt,5.207723564740321
card2,4.137707817659484
user_avg_amount,3.279116870931568
hour,3.0043528207426307
addr1_freq,2.860856785689223
R_emaildomain,2.7608315893375415
user_velocity,2.748193130640781
amount_vs_user_mean,2.7277529056335377
ProductCD,2.6958256221690924
card5,1.8461799487971873
day_of_week,1.7299422310511128
user_last_amount,1.5196598256113119
amount_diff,1.4370198421439595
card6,1.3254878702906132
V78,1.0407178359889844
V87,0.8390839135513951
card3,0.8238185854738412
V258,0.7998011997037611
V74,0.7545697278458373
V45,0.7462294673938572
V44,0.7026249747706672
card4,0.6647157682932284
V47,0.5355502358602546
V303,0.5052219927552953
user_tx_count_5min,0.4566653927313094
V86,0.45066142549006677
addr2,0.4205194545463898
V199,0.39093373071063275
V38,0.36298406801121186
V222,0.35548654593026713
V201,0.3328468823484495
V77,0.32792620031887176
V156,0.3263636498794565
V37,0.313441058272783
V170,0.2929983445217073
V217,0.2587639809709729
is_weekend,0.25540963668545125
V24,0.2492221172597288
V60,0.24330490165606247
V46,0.23642361426673492
V139,0.22957912112804033
V228,0.21646716625293683
V246,0.21201088957613534
V232,0.20476335112579372
V243,0.2030420703221399
V155,0.19754406244282888
V63,0.18934895800215926
V257,0.18619137737596722
V195,0.1832494175019652
V125,0.17618566929083054
is_night,0.17346710345635485
V94,0.1681028625997443
V200,0.16533423251111481
V259,0.15876339875358716
V304,0.1550036928287415
V219,0.15219364573497737
V218,0.15014709971445853
V189,0.14602054035998924
V188,0.14243849549388474
V23,0.13413003060718123
V34,0.13307229720516042
V81,0.13166914141051236
V244,0.13016008203871562
user_tx_count_1min,0.1280665975804414
V260,0.12424726229274767
V158,0.11963610855465259
V171,0.1137177391234384
V230,0.10482089607624903
V197,0.10460683022027088
V252,0.09980062604797584
V43,0.09866889018423985
V179,0.09535456150010427
V154,0.09417118415710751
V198,0.09187770470749775
V21,0.08605314923303542
V123,0.08138251007449267
V194,0.07998603912066568
V157,0.07524769289536114
V40,0.07382681509781917
V93,0.06487284901639691
V167,0.06467031849297936
V186,0.06027570067249861
V247,0.058550355331987596
V262,0.0534464620401883
V233,0.05305294531968207
V140,0.05201930089488578
V176,0.050733246372921495
V52,0.049937151665163805
V79,0.04833962439456145
V85,0.047239393728269324
V39,0.04426928282382065
V237,0.03937911039555231
V16,0.039125981039772155
V239,0.030193070596984926
V147,0.022417428746760483
V231,0.012986076771469176
V32,0.008553108820896169
V177,0.00792220195124831
V146,0.005877173812846424
V111,0.003600709855587665
V18,0.0008423806626262631
