iter	Logloss
183	0.1769904899
184	0.1763507953
185	0.175773949
186	0.1752015719
187	0.1747937088
188	0.1743906723
189	0.17350579
190	0.1728531222
191	0.1727046331
192	0.1725677381
193	0.1721248883
194	0.1720095599
195	0.1715126851
196	0.1708801282
197	0.170320737
198	0.1700695862
199	0.1698696003
200	0.1692746988
201	0.168604193
202	0.1680816144
203	0.1675475438
204	0.1670007683
205	0.1663375151
206	0.1657049328
207	0.1650490983
208	0.1640878837
209	0.1633896566
210	0.1626813932
211	0.1624672466
212	0.1621767166
213	0.1615527022
214	0.1607827396
215	0.1602667498
216	0.1599814295
217	0.1593952747
218	0.1589846025
219	0.1584052152
220	0.1582703122
221	0.1576899545
222	0.1569910507
223	0.1563156415
224	0.1556117323
225	0.1550213511
226	0.1544066068
227	0.1537748928
228	0.153590587
229	0.1529680282
230	0.1526311983
231	0.1523243114
232	0.1519848
233	0.1514055405
234	0.1507286502
235	0.150032198
236	0.1498504459
237	0.149541848
238	0.1489456952
239	0.1484113693
240	0.1480782041
241	0.1476086802
242	0.1470352304
243	0.1465355592
244	0.1459457525
245	0.1457048041
246	0.1452047753
247	0.1446799111
248	0.1436282802
249	0.143415487
250	0.1426571058
251	0.1419984111
252	0.1416769422
253	0.140930883
254	0.1407465516
255	0.1405367592
256	0.1402304341
257	0.1401531952
258	0.1396956996
259	0.1392341817
260	0.138889333
261	0.1384161444
262	0.138002165
263	0.1373417848
264	0.1362483486
265	0.1354701501
266	0.1351750106
267	0.1350759114
268	0.134544152
269	0.1337081234
270	0.133417836
271	0.1329589613
272	0.1327436399
273	0.1323137122
274	0.1319586484
275	0.1312262646
276	0.1306588418
277	0.1301077886
278	0.1293999083
279	0.1288472718
280	0.1278039278
281	0.127716691
282	0.1273711144
283	0.1264392171
284	0.1259064745
285	0.1256659602
286	0.1250863431
287	0.1250190384
288	0.1249382242
289	0.1246282345
290	0.123671157
291	0.1236103644
292	0.1229611953
293	0.1225017077
294	0.1222415932
295	0.1221762038
296	0.1218877041
297	0.1212820896
298	0.1206982332
299	0.1202432402
300	0.1199212478
301	0.1191596233
302	0.1186022495
303	0.1182266151
304	0.1178960036
305	0.1175745347
306	0.1170767532
307	0.116854575
308	0.116450849
309	0.1158095966
310	0.1153554336
311	0.1147641202
312	0.1143270548
313	0.113672561
314	0.1129908696
315	0.1121464646
316	0.1119518416
317	0.1114898002
318	0.1110995454
319	0.1106745337
320	0.1103920098
321	0.1101822301
322	0.1097986534
323	0.1095158103
324	0.1094637771
325	0.1089300386
326	0.108517119
327	0.1082378256
328	0.1080578996
329	0.1073561483
330	0.1070642839
331	0.1063667591
332	0.1060192992
333	0.1054379519
334	0.1051510355
335	0.1046799729
336	0.1044578074
337	0.1037386394
338	0.1032554847
339	0.1028935321
340	0.102443104
341	0.1021555491
342	0.101616952
343	0.101271401
344	0.1010989319
345	0.1004904764
346	0.1001510097
347	0.09995129189
348	0.09963281086
349	0.09937210894
350	0.09910843187
351	0.09885133716
352	0.09842056034
353	0.09837758035
354	0.09803163987
355	0.09760542154
356	0.09755646571
357	0.09730756222
358	0.09690539405
359	0.09643169469
360	0.09634020577
361	0.0958522436
362	0.09535826728
363	0.09476715821
364	0.09442068783
365	0.09403709197
366	0.09376173778
367	0.09336502191
368	0.0928776471
369	0.09259369308
370	0.09205730498
371	0.09163199324
372	0.09159491246
373	0.09123144671
374	0.09094091034
375	0.0905072733
376	0.09029358634
377	0.09004028398
378	0.08956887025
379	0.08936837992
380	0.08916006227
381	0.08881548168
382	0.08823503461
383	0.08814057693
384	0.08792328915
385	0.08764179952
386	0.08741250263
387	0.08711258114
388	0.08689376749
389	0.08669797609
390	0.08623728183
391	0.08597566055
392	0.08576741952
393	0.08534570221
394	0.08503640199
395	0.08482940592
396	0.08477364429
397	0.08468667555
398	0.08425835674
399	0.08384661191
400	0.0835954228
401	0.08330981521
402	0.08290804926
403	0.08260846615
404	0.08227085735
405	0.08197764591
406	0.08172645041
407	0.0814409322
408	0.08115967241
409	0.08092665339
410	0.08082630927
411	0.08027311096
412	0.08024251676
413	0.08005662762
414	0.07967817761
415	0.07949545515
416	0.07916433933
417	0.07885361538
418	0.07842325355
419	0.07811321274
420	0.07798809063
421	0.07778164362
422	0.07749705754
423	0.07723075648
424	0.07698019304
425	0.0767879067
426	0.0764418513
427	0.07637155232
428	0.07615624371
429	0.07606679781
430	0.07577702119
431	0.07560095131
432	0.07530916998
433	0.07495258665
434	0.07473675452
435	0.07452952861
436	0.07441958869
437	0.07414157219
438	0.07388237699
439	0.07368275494
440	0.07359168101
441	0.07338801762
442	0.07312441078
443	0.0729023666
444	0.07257907171
445	0.07242111446
446	0.07229484316
447	0.07195485297
448	0.07166740666
449	0.07164771708
450	0.07152340579
451	0.07112439153
452	0.07105518428
453	0.07101082524
454	0.07081267161
455	0.07062297096
456	0.07028882253
457	0.07009082851
458	0.06975034673
459	0.06965747239
460	0.06933205786
461	0.06901591353
462	0.06872704988
463	0.06842083973
464	0.06814805846
465	0.0680167243
466	0.06799480016
467	0.06797426783
468	0.06780709784
469	0.06771640698
470	0.06733757391
471	0.06717606053
472	0.06696153083
473	0.06690697586
474	0.06663113006
475	0.0663656909
476	0.06621157708
477	0.06600922888
478	0.06587446627
479	0.06575123396
480	0.06557486401
481	0.06545853326
482	0.0652938979
483	0.06525547
484	0.0652131476
485	0.06499126303
486	0.06479591855
487	0.06458738383
488	0.0643707345
489	0.06432122961
490	0.06408891288
491	0.06403358538
492	0.06370446789
493	0.06336225592
494	0.06320049355
495	0.06308794239
496	0.06291336647
497	0.06278200677
498	0.06269007094
499	0.06229727511
