iter	Logloss
0	0.6572963798
1	0.6238040553
2	0.5961365807
3	0.5724891023
4	0.5516393844
5	0.5317799175
6	0.5167489203
7	0.5019224292
8	0.4881397163
9	0.4756229597
10	0.4638428134
11	0.4508883402
12	0.4403493786
13	0.4331123945
14	0.4252130894
15	0.4176474347
16	0.4125667288
17	0.4039223604
18	0.3957550623
19	0.3892512409
20	0.3816424274
21	0.3769078089
22	0.3687700069
23	0.3640268587
24	0.3598090983
25	0.3564607954
26	0.3522453845
27	0.3478635186
28	0.3446088371
29	0.3403786653
30	0.3371250563
31	0.3349446449
32	0.3326855518
33	0.3314106572
34	0.3282488564
35	0.3256449273
36	0.3239917679
37	0.3220315683
38	0.3204197034
39	0.319094806
40	0.3168622976
41	0.3151977994
42	0.3131719934
43	0.3105203088
44	0.3089184547
45	0.3063336533
46	0.3044933534
47	0.3028952278
48	0.3008628075
49	0.3001851894
50	0.2985423472
51	0.2964809417
52	0.2943424887
53	0.2925273946
54	0.2903445316
55	0.289003673
56	0.2873822059
57	0.2857573168
58	0.2838911216
59	0.2828716044
60	0.2816777921
61	0.2800215681
62	0.2784072771
63	0.2771147105
64	0.2763280462
65	0.2737244236
66	0.2723277907
67	0.2715771346
68	0.2703500212
69	0.2686825351
70	0.2679712837
71	0.2667433531
72	0.2656362669
73	0.2642697175
74	0.2629121573
75	0.2617584137
76	0.2602742119
77	0.2595578786
78	0.2585756208
79	0.257630495
80	0.2565657759
81	0.2557094959
82	0.2545763357
83	0.2535950229
84	0.2529535406
85	0.251425082
86	0.249750905
87	0.2488644138
88	0.2478255389
89	0.2464626158
90	0.2451025529
91	0.2445343384
92	0.2439822127
93	0.2431924839
94	0.2423177145
95	0.2415860074
96	0.2401064535
97	0.2392772434
98	0.2384982916
99	0.2378431466
100	0.2372261296
101	0.236355293
102	0.2356928953
103	0.235049983
104	0.2338877609
105	0.2334159258
106	0.2327613427
107	0.2322145032
108	0.2314737814
109	0.2303994091
110	0.2295939746
111	0.228526472
112	0.2277524489
113	0.2269455588
114	0.2263759397
115	0.225660066
116	0.2247257682
117	0.2241435335
118	0.2230667351
119	0.2221940598
120	0.2214049439
121	0.2207459939
122	0.2197144228
123	0.2187436315
124	0.2181089679
125	0.2174972371
126	0.2169017483
127	0.2160799441
128	0.2150467386
129	0.2142214869
130	0.2137027262
131	0.2127438866
132	0.2119567371
133	0.2113911913
134	0.2107647381
135	0.2101696196
136	0.2089891635
137	0.2083488305
138	0.2077296044
139	0.2064916246
140	0.2057122641
141	0.2047929186
142	0.2037769639
143	0.203347266
144	0.2026466384
145	0.2021472098
146	0.2019967032
147	0.2012267406
148	0.2003070631
149	0.2000067649
150	0.1993672874
151	0.1988353365
152	0.1984064303
153	0.1975937304
154	0.1968562901
155	0.196082216
156	0.195929628
157	0.1956530799
158	0.1949675196
159	0.1943123108
160	0.1940661143
161	0.1935692012
162	0.1926395895
163	0.1914341959
164	0.1904746667
165	0.1896047495
166	0.188704851
167	0.187589797
168	0.1867652093
169	0.1861527379
170	0.1859520879
171	0.1851217925
172	0.1844076299
173	0.1836136874
174	0.1829238367
175	0.1823368136
176	0.1820592441
177	0.1813443153
178	0.1805236731
179	0.1799783787
180	0.1793355685
181	0.1787705973
182	0.1781626717
